Ngày,Thời điểm cập nhật giá mới,Thời điểm cập nhật dữ liệu,Mã vàng,Loại vàng,Giá mua,Giá bán,Day change buy,Day change sell,Currency,Số lần update
2026-04-20,13:30:00,2026-04-20 13:59:34.744,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,13:30:00,2026-04-20 13:59:34.744,XAUUSD,World Gold (XAU/USD),4786.6,0,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,14:30:00,2026-04-20 14:59:36.716,XAUUSD,World Gold (XAU/USD),4798.5,0,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,15:30:00,2026-04-20 15:59:36.014,XAUUSD,World Gold (XAU/USD),4792.2,0,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
